@RELATION ReviewUnigramData

@ATTRIBUTE "usefulness"	NUMERIC
@ATTRIBUTE "golf"	NUMERIC
@ATTRIBUTE "a"	NUMERIC
@ATTRIBUTE "i"	NUMERIC
@ATTRIBUTE "defeats"	NUMERIC
@ATTRIBUTE "dated"	NUMERIC
@ATTRIBUTE "alexions"	NUMERIC
@ATTRIBUTE "mats"	NUMERIC
@ATTRIBUTE "hopping"	NUMERIC
@ATTRIBUTE "grew"	NUMERIC
@ATTRIBUTE "voted"	NUMERIC
@ATTRIBUTE "dream"	NUMERIC
@ATTRIBUTE "of"	NUMERIC
@ATTRIBUTE "flavorheat"	NUMERIC
@ATTRIBUTE "commercial"	NUMERIC
@ATTRIBUTE "hosted"	NUMERIC
@ATTRIBUTE "anymore"	NUMERIC
@ATTRIBUTE "splus"	NUMERIC
@ATTRIBUTE "worse"	NUMERIC
@ATTRIBUTE "western"	NUMERIC
@ATTRIBUTE "hoggies"	NUMERIC
@ATTRIBUTE "restaurantits"	NUMERIC
@ATTRIBUTE "atlanta"	NUMERIC
@ATTRIBUTE "teens"	NUMERIC
@ATTRIBUTE "led"	NUMERIC
@ATTRIBUTE "lit"	NUMERIC
@ATTRIBUTE "homestyle"	NUMERIC
@ATTRIBUTE "mill"	NUMERIC
@ATTRIBUTE "miss"	NUMERIC
@ATTRIBUTE "robinson"	NUMERIC
@ATTRIBUTE "ruben"	NUMERIC
@ATTRIBUTE "frozen"	NUMERIC
@ATTRIBUTE "associates"	NUMERIC
@ATTRIBUTE "expecting"	NUMERIC
@ATTRIBUTE "nat"	NUMERIC
@ATTRIBUTE "steeped"	NUMERIC
@ATTRIBUTE "patties"	NUMERIC
@ATTRIBUTE "puppy"	NUMERIC
@ATTRIBUTE "primantis"	NUMERIC
@ATTRIBUTE "settlers"	NUMERIC
@ATTRIBUTE "transaction"	NUMERIC
@ATTRIBUTE "subway"	NUMERIC
@ATTRIBUTE "wing"	NUMERIC
@ATTRIBUTE "enormous"	NUMERIC
@ATTRIBUTE "ridge"	NUMERIC
@ATTRIBUTE "machines"	NUMERIC
@ATTRIBUTE "pleasant"	NUMERIC
@ATTRIBUTE "speciality"	NUMERIC
@ATTRIBUTE "rankin"	NUMERIC
@ATTRIBUTE "rep"	NUMERIC
@ATTRIBUTE "practicing"	NUMERIC
@ATTRIBUTE "boat"	NUMERIC
@ATTRIBUTE "tended"	NUMERIC
@ATTRIBUTE "sucks"	NUMERIC
@ATTRIBUTE "anytime"	NUMERIC
@ATTRIBUTE "sample"	NUMERIC
@ATTRIBUTE "franks"	NUMERIC
@ATTRIBUTE "refreshing"	NUMERIC
@ATTRIBUTE "salt"	NUMERIC
@ATTRIBUTE "the"	NUMERIC
@ATTRIBUTE "water"	NUMERIC
@ATTRIBUTE "grass"	NUMERIC
@ATTRIBUTE "possibly"	NUMERIC
@ATTRIBUTE "yinzers"	NUMERIC
@ATTRIBUTE "pennysaver"	NUMERIC
@ATTRIBUTE "feels"	NUMERIC
@ATTRIBUTE "wet"	NUMERIC
@ATTRIBUTE "sides"	NUMERIC
@ATTRIBUTE "win"	NUMERIC
@ATTRIBUTE "wqed"	NUMERIC
@ATTRIBUTE "wtf"	NUMERIC
@ATTRIBUTE "cajun"	NUMERIC
@ATTRIBUTE "treats"	NUMERIC
@ATTRIBUTE "ambience"	NUMERIC
@ATTRIBUTE "difference"	NUMERIC
@ATTRIBUTE "hitting"	NUMERIC
@ATTRIBUTE "seback"	NUMERIC
@ATTRIBUTE "mario"	NUMERIC
@ATTRIBUTE "specials"	NUMERIC
@ATTRIBUTE "wings"	NUMERIC
@ATTRIBUTE "omlet"	NUMERIC
@ATTRIBUTE "daily"	NUMERIC
@ATTRIBUTE "luxurious"	NUMERIC
@ATTRIBUTE "pace"	NUMERIC
@ATTRIBUTE "whomp"	NUMERIC
@ATTRIBUTE "rick"	NUMERIC
@ATTRIBUTE "board"	NUMERIC
@ATTRIBUTE "roughnot"	NUMERIC
@ATTRIBUTE "ipod"	NUMERIC
@ATTRIBUTE "hoagie"	NUMERIC
@ATTRIBUTE "incorrectly"	NUMERIC
@ATTRIBUTE "location"	NUMERIC
@ATTRIBUTE "girlfriend"	NUMERIC
@ATTRIBUTE "rangestill"	NUMERIC
@ATTRIBUTE "program"	NUMERIC
@ATTRIBUTE "amenable"	NUMERIC
@ATTRIBUTE "serviceable"	NUMERIC
@ATTRIBUTE "processed"	NUMERIC
@ATTRIBUTE "fashioned"	NUMERIC
@ATTRIBUTE "wonderfully"	NUMERIC
@ATTRIBUTE "trade"	NUMERIC
@ATTRIBUTE "ack"	NUMERIC
@ATTRIBUTE "and"	NUMERIC
@ATTRIBUTE "resting"	NUMERIC
@ATTRIBUTE "tradition"	NUMERIC
@ATTRIBUTE "boy"	NUMERIC
@ATTRIBUTE "throwback"	NUMERIC
@ATTRIBUTE "awards"	NUMERIC
@ATTRIBUTE "buy"	NUMERIC
@ATTRIBUTE "booths"	NUMERIC

@DATA
0,0.0,-1.4366925976640543,-1.9138138523837167,0.0,0.0,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,-1.4366925976640543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0107238653917732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,-1.6127838567197355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,0.0,-1.6127838567197355,0.0,0.0,0.0,-1.9138138523837167,0.0,0.0,-1.9138138523837167
0,0.0,-1.3617278360175928,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3617278360175928,0.0,0.0,0.0,0.0,0.0
0,0.0,-1.5622928644564746,-1.5622928644564746,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3862016054007935,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2612628687924934,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0
0,0.0,-1.863322860120456,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.863322860120456,-1.018224820106199,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,-1.863322860120456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2612628687924934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,-1.6595993124367443,-1.6595993124367443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6595993124367443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1367205671564067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1367205671564067,0.0,0.0,-2.1367205671564067,-2.1367205671564067,0.0,0.0,0.0,-1.2336305801644631,0.0,0.0,0.0,0.0,0.0,0.0,-2.1367205671564067,0.0,0.0,0.0,0.0,-1.8356905714924254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.437750562820388,0.0,0.0,0.0,-2.1367205671564067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5346605758284442,-2.1367205671564067,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,-1.2937307569224819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7708520116421442,-1.7708520116421442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.469822015978163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7708520116421442,0.0,0.0,-1.0718820073061255,-1.7708520116421442,0.0,0.0,0.0,0.0,0.0,0.0,-1.7708520116421442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7708520116421442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1687920203141817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,-1.4983105537896004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3222192947339193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4983105537896004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7993405494535817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3222192947339193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,-1.2787536009528289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2787536009528289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9777236052888476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,-1.20712549279565,-1.3832167518513312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.161368002234975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.919078092376074,-1.6180480967120927,0.0,-1.919078092376074,0.0,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,-1.3170181010481117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.919078092376074,0.0,-1.919078092376074,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,-1.220108088040055,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,-1.919078092376074,0.0,-1.919078092376074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
